Type;Question;Answer
drug;what if i quit taking thyroid medicine;Thyroid helps control the symptoms of hypothyroidism, but does not cure this condition. It may take up to several weeks before you notice any change in your symptoms. To control the symptoms of hypothyroidism, you probably will need to take thyroid for the rest of your life. Continue to take thyroid even if you feel well. Do not stop taking thyroid without talking to your doctor.
drug;what is the highest dose lidocaine comes in;"Group: local anaesthetic agent
Injection (hydrochloride): 5 mg/ml (0.5%), 10 mg/ml (1%) in 20-ml ampoule; 10 mg/ml (1%) + epinephrine 5 micrograms/ml (1:200 000) in 20-ml ampoule; 20 mg/ml (2%) + epinephrine 12.5 micrograms/ml (1:80 000) in 2.2-ml cartridge for dental anaesthesia; 50 mg/ml (5%) in 2-ml ampoule to be mixed with 75 mg/ml (7.5%) glucose solution
Topical forms: 20-40 mg (hydrochloride)/ml (2-4%) as gel or solution"
drug;what drugs contain in testerone injection;TESTOSTERONE UNDECANOATE [or] TESTOSTERONE CYPIONATE [or] TESTOSTERONE ENANTHATE
drug;how to take statins;Take your medicine as directed. The medicine comes in tablet or capsule form. DO NOT open capsules, or break or chew tablets, before taking the medicine.  You take statins once a day. Some should be taken at night, but others can be taken anytime. They come in different doses, depending on how much you need to lower your cholesterol. DO NOT stop taking your medicine without talking with your provider first.  Read the label on the bottle carefully. Some brands should be taken with food. Others may be taken with, or without food.  Store all of your medicines in a cool, dry place. Keep them where children cannot get to them.  You should follow a healthy diet while taking statins. This includes eating less fat in your diet. Other ways you can help your heart include:      Getting regular exercise     Managing stress     Quitting smoking
drug;what is the therapeutic effect of levaquin;Levofloxacin is the L-isomer of the racemate, ofloxacin, a quinolone antimicrobial agent. The antibacterial activity of ofloxacin resides primarily in the L-isomer. The mechanism of action of levofloxacin and other fluoroquinolone antimicrobials involves inhibition of bacterial topoisomerase IV and DNA gyrase (both of which are type II topoisomerases), enzymes required for DNA replication, transcription, repair and recombination.
drug;is it nessasary to ween off of cymbalta before starting effexor?;Switching from one antidepressant to another is frequently indicated due to an inadequate treatment response or unacceptable adverse effects. All antidepressant switches must be carried out cautiously and under close observation. Conservative switching strategies involve gradually tapering the first antidepressant followed by an adequate washout period before the new antidepressant is started. This can take a long time and include periods of no treatment with the risk of potentially life-threatening exacerbations of illness. Clinical expertise is needed for more rapid or cross-taper switching as drug toxicity, including serotonin syndrome, may result from inappropriate co-administration of antidepressants. Some antidepressants must not be combined. Antidepressants can cause withdrawal syndromes if discontinued abruptly after prolonged use. Relapse and exacerbation of depression can also occur. Gradual dose reduction over days to weeks reduces the risk and severity of complications.
drug;what do steroids do to the brain;Even though anabolic steroids do not cause the same high as other drugs, they can lead to addiction. Studies have shown that animals will self-administer steroids when they have the chance, just as they do with other addictive drugs. People may continue to abuse steroids despite physical problems, high costs to buy the drugs, and negative effects on their relationships. These behaviors reflect steroids' addictive potential. Research has further found that some steroid users turn to other drugs, such as opioids, to reduce sleep problems and irritability caused by steroids.  People who abuse steroids may experience withdrawal symptoms when they stop use, including:      mood swings     fatigue     restlessness     loss of appetite     sleep problems     decreased sex drive     steroid cravings  One of the more serious withdrawal symptoms is depression, which can sometimes lead to suicide attempts.
drug;is pramoxine a nsaid?;Pramoxine is in a class of medications called topical anesthetics. It works by stopping nerves from sending pain signals.
drug;what is in indomethacin;"ACTIVE INGREDIENT: INDOMETHACIN; INACTIVE INGREDIENTS: FERROSOFERRIC OXIDE;SILICON DIOXIDE;GELATIN;FD&C BLUE NO. 1;FD&C YELLOW NO. 5;MAGNESIUM STEARATE;CELLULOSE, MICROCRYSTALLINE;POWDERED CELLULOSE;SODIUM LAURYL SULFATE;SODIUM STARCH GLYCOLATE TYPE A CORN;TITANIUM DIOXIDE"
drug;what is it he ingredients in indomethacin;"ACTIVE INGREDIENT: INDOMETHACIN; INACTIVE INGREDIENTS: FERROSOFERRIC OXIDE;SILICON DIOXIDE;GELATIN;FD&C BLUE NO. 1;FD&C YELLOW NO. 5;MAGNESIUM STEARATE;CELLULOSE, MICROCRYSTALLINE;POWDERED CELLULOSE;SODIUM LAURYL SULFATE;SODIUM STARCH GLYCOLATE TYPE A CORN;TITANIUM DIOXIDE"
drug;is peppermint oil safe in mouthwash?;Peppermint oil appears to be safe when taken orally (by mouth) in the doses commonly used. Excessive doses of peppermint oil can be toxic.     Possible side effects of peppermint oil include allergic reactions and heartburn. Capsules containing peppermint oil are often enteric-coated to reduce the likelihood of heartburn. If enteric-coated peppermint oil capsules are taken at the same time as antacids, the coating can break down too quickly.     Like other essential oils, peppermint oil is highly concentrated. When the undiluted essential oil is used for health purposes, only a few drops are used.     Side effects of applying peppermint oil to the skin can include skin rashes and irritation. Peppermint oil should not be applied to the face or chest of infants or young children because serious side effects may occur if they inhale the menthol in the oil.     No harmful effects of peppermint leaf tea have been reported. However, the long-term safety of consuming large amounts of peppermint leaf is unknown.
drug;how to inject pills morphine;MORPHINE SULFATE EXTENDED-RELEASE TABLETS ARE TO BE TAKEN WHOLE, AND ARE NOT TO BE BROKEN, CHEWED OR CRUSHED. TAKING BROKEN, CHEWED OR CRUSHED MORPHINE SULFATE EXTENDED-RELEASE TABLETS COULD LEAD TO THE RAPID RELEASE AND ABSORPTION OF A POTENTIALLY TOXIC DOSE OF MORPHINE.
drug;metoclopramide how supplied;Metoclopramide Tablets, USP:5 mg - Light green, round, unscored tablets in bottles of 100 and 500. Debossed: WPI on one side and 2228 on the other side. 10 mg - White, round, scored tablets in bottles of 100, 500 and 1000. Debossed: WPI on one side and 2229 on the other side.
drug;metoclopramide how supplied;"Metoclopramide Injection, USP 5 mg metoclopramide base (as the monohydrochloride monohydrate) per mL; available in:2 mL single use vials (NDC 23155-240-31 ) in cartons of 25 (NDC 23155-240-41 ),10 mL single use vials (NDC 23155-240-32) in cartons of 25 (NDC 23155-240-42),30 mL single use vials (NDC 23155-240-33) in cartons of 25 (NDC 23155-240-43)."
drug;metoclopramide how supplied;XACTDOSE™ Metoclopramide Oral Solution USP, 5 mg/5 mL, is a clear, sugar-free liquid with a butterscotch flavor. Each 5 mL contains 5 mg Metoclopramide (present as the hydrochloride) and is available as follows: NDC 66689-031-50: 10 mg/10 mL unit dose cups, packaged in cartons of 50 (5 trays of 10 unit dose cups each)
drug;metoclopramide how supplied;"Each white to off white, capsule shaped biconvex metoclopramide tablets, USP with ""RF11"" embossed on one side & score line on the other side contains 10 mg of metoclopramide base as metoclopramide hydrochloride, USP. Available in: Bottle of 30 tablets NDC 63304-846-30; Bottle of 100 tablets NDC 63304-846-01; Bottle of 500 tablets NDC 63304-846-05; Bottle of 1000 tablets NDC 63304-846-10. Each white to off white, oval shaped biconvex tablets metoclopramide tablets, USP with ""RF10"" embossed on one side and plain on the other side contains 5 mg of metoclopramide base as metoclopramide hydrochloride, USP. Available in Bottles of 30 tablets NDC 63304-845-30; Bottle of 100 tablets NDC 63304-845-01; Bottle of 500 tablets NDC 63304-845-05; Bottle of 1000 tablets NDC 63304-845-10"
drug;"why finasteride is not allowed by prostate ""cancer?""";"Used for symptomatic treatment of BPH and male pattern baldness (i.e., androgenetic alopecia)
May decrease risk of low-grade prostate cancer; but, may increase risk of more serious high-grade prostate cancer"
