女 听过别人最多的议论就是干啥啥不行不长心眼没有脑子;这样的议论是针对谁呢？
假的吗？？叫汇款六千，，不汇就算违约并会起诉;假的
禁驾5年，如果先现在骑车在给抓会判刑，或拘留吗;禁驾不是禁止骑自行车呀
男,没借条可以把钱要来吗？通过法律途径可以吗？;有证人么？后者其他能够证明你们之间存在债券债务的证据
感觉做什么都不顺心，但就是不知道因为什么原因。;有木有具体事情呢，点击关注我，成为我的粉丝私聊
女,29岁,男朋友跟我动手打我，还应该继续下去吗？;你能接受的底线是什么
男,28岁,从原来的公司辞职了现在想回去我该怎么办？;做好被拒绝的准备，勇敢的去吃回头草
车款已付，合同已签，没有发票，车出事了，算谁的;点我头像加关注
我是一个同性恋，爱上一个不该爱的人，怎么办？？;能具体说说吗
依然放不下男友，我应该怎么办？他已经不爱我啦！;具体是怎样的呢，您愿意说得更详细一些吗
当兵的服役金，地方补助的属于我的，还是家人的。;个人财产
我失败的婚姻不知该继续还是结束，我有一个儿子。;幸福而非完整的家庭对孩子更重要
我想跟他复合，可是他说先做朋友吧，我应该怎么办;那就先做朋友，增进你们的感情
我想离婚，我跟我老公结婚才半年，现在我又怀孕了;我们是介绍的，没有感情基础
我老婆非要和我离婚可我真的不想离婚，孩子都3岁了;发生了什么呢？
我现在爰上我妈了不知道该怎么办越来越离不开我妈了;您想获得怎样的帮助呢^^
我不知道该从哪提问，但我只知道我们之间出了第三者;你们之间出现了第三，请问有明确证据吗？
女,我找了一比我大二十岁的男人，我们结婚会幸福吗？;可点我头像，加关注，私聊或直接电话我
您好，我想咨询一下关于中国人寿保险中途退保的问题;可以直接问保险公司
为一点点小事吵架胡思乱想，会自己伤害自己该怎么办;首先觉察自己，觉察自己的情绪。你感觉是什么让你没有安全感呢？
我想问在未经本人同意下拿其证件去开银行卡会怎么样;承担银行卡的相关责任
您好，我想问下离婚，女方主动提出需要赔偿损失吗？;你们可以协议离婚的，如果还想对婚姻做一些努力，可心理咨询的，点我头像，加关注或直接电话我哈
我心里有忧郁症，主要就是性方面，变态，喜欢亲情人;请点击我的头像，添加关注我
女,20岁,突然就觉得很失落，心里就很烦，这是为什么呢;发生了什么事吗
男人在最事业最失意的时候，作为妻子我该怎么做呢？;支持鼓励关怀很重要
结婚36天   老婆出轨   一直给我打电话 让我和好  说她改;你们恋爱多久结婚的
女,28岁,总是因为小事情跟孩子生气，孩子两周六个月了;多久了
社交障碍  恐惧  心理老是怀疑别人说我坏话 我不想这样;可能需要进行鉴别诊断，跟强迫性思维，被害妄想（可能性略低）恐惧症。
在么      最近心里好难过    好烦    可以帮我解决一下么;O(∩_∩)O你好，很多咨询师都在的，你因为什么而烦恼呢！
老公昨晚偷偷上网搜前女友Qq，还看她空间，我该怎么办;您在担心什么呢？
男18岁岁，有社交恐惧症，见人就脸红，胆子小，怎么办;怎么办呢
我最近总是莫名的害怕害怕自己一个人待着怎么回事呢？;是要付费质询吗？
离婚了，但是内心还是觉得很煎熬，还想着他的一切……;想他的一切 现在给你什么感觉？
你好，我的上家单位不给办理养老保险手册，我该怎么办;我去社保问了，要上家单位才能办，我去上家单位他们说不给办
我怀孕了，男朋友要负责，可他家人却不管，我该怎么办;你多大了，怀孕多久了
我想离婚有没有律师可以在线或者电话咨询一下？？现在;可以，点击我的头像，选择电话咨询服务
如果我父亲与别的女人非法同居，不管孩子的后果是什么;你指什么后果
我也想过把牙刷扔了，又舍不得，我觉得我有点强迫症。;要解决这个问题就要接受心理咨询了
我很怕死怎么办，怎么客服自己这种想法？人可以不死吗;怕死是人之常情。你是否过分怕死呢？
我不想没有家，但我想离婚，但我很迷茫，我该怎么办，;你
在网上看到很多人发的介意老公过去的贴子心里会不舒服;需要帮助吗
买房居住五年了，但没过户 。以后要征收时有没有问题？;需要过户的，否则只赔偿产权人
女,心里总有种想和女孩子发生关系的心里叫什么心理。？;你喜欢同性吗？或只是好奇，要判断这样想的真实原因是什么
8岁儿童，家长说不听，老师说也不听，整天说烦。怎么办;他这样多久了
男,别人欠我钱我想起诉他还钱，我需要些什么资料跟证据;借条
你好在吗，我心好自卑，一个朋友也没有什么办，救救我！;多大
男,29岁,我女朋友说她想要精神和生活的另一半是什么意思;也就是说，她对你心存期望，但你经常令她失望～～
女 19周   近来怀疑自己有点恋父情节  还没有正常的性生活;女性咨询师帮忙回复。
男,我老公最近喜欢出去玩，突然不理我，喜欢神神秘秘。;那你怎么想的呢？
如果放火 ，烧了人家的棚子  和拖拉机  会有什么样的结果;纵火罪
女朋友不想结婚，之前离过婚，有过两个小孩，是抛妇产，;是的，女朋友
老公经常在外面应酬，对我和孩子关心太少，我该怎么办？;关心太少让你感受到了什么？
我想咨询我总觉得自己无论怎么付出都没有回报！为什么？;你付出过什么让你有这样的观念呢？
劳动法对挖掘机行业拖欠工资有没有什么具体的条文规定啊;统一适用劳动法
您好专家，我和丈夫最近因为各种小事吵架，跟我斤斤计较;可以具体说一下吗，计较什么
女,18岁,想退学，却不敢跟家长说，怎么办？怎么跟家长沟通;鞥
女,和男朋友没登记，生了个儿子，两周岁了，孩子能给我吗;这个要看双方的具体情况，对方是头婚么？还有生育能力么？家庭状况怎么样
女,25岁,别人欠我钱，我把他起诉了，她一直不露面，怎么办;就看开庭传票她是否能收到。可能缺席审判，也可能法院让你撤诉
我和我女朋友分手了，她一直带着我家里面，她F父母威胁我;这事情怎么解决
16 ，女 我觉得自己有点胖，特别是大腿，我想减肥和长高。;加强锻炼身体！
不想让供电局在自家墙头边上安装电线杆，违法吗，怎么办？;可点我，加关注或直接电话我
做手术不完整，如果医生不承认，那么他该受怎样的法律责任;请关注我一对一咨询
我有一个女儿十三岁，厌学。不听我们父母的还顶嘴想去打工;没有培养起学习兴趣就容易厌学
长时间注意力不集中，一看书就思想开下差，记忆力也很差。;感觉自己情绪很低落，有时谁也不想理
女,别人给我打的欠条，可是现在也没给，应该怎么要回这些钱;先协商，无果到法院起诉
私人企业的老板因行贿被抓，会计主管会承担什么法律责任？;就看会计是否参与。如果参与可能是共犯，被追究刑事责任
女,请问下我现在怀孕八个月，可以跟对方要求孩子的抚养费吗;不可以，要孩子生下来而且存活以后才可以。
15 ，女 我想咨询我的女儿，现在青春期很叛逆我没有什么办法;理解作为父母的感受。我可以很好的解决您的问题。孩子长大了，不在像小时候一样说什么听什么。所以，沟通方式也要变化。人生就是阶段性的调整。要以欣赏引导暗示隐喻启发为主要手段，教育于无形，有效果且无副作用。 详细咨询，请点击我的头像，关注我，然后点击图文交流咨询，或者点击电话咨询。我详细的咨询会有很好的效果。
男,购买机票没买延误险，因天气原因延误六小时可以索赔吗？;不可以，天气原因属不可抗力。
老师同学们都晚上好！失眠睡不着？有没和我一样还没睡的？;好
我疑心病比较重   同事说话时老感觉在骂我    感觉他们会害我;被伤害过吗？
28 ，男 火疗对男性有好处吗，能治男性疾病吗？没什么坏处吧;因人而异。
女,你好，我朋友问我借了钱。现在迟迟拖着不还。可以起诉吗;可以的
